datetime,second,joy_x,joy_z,tempo,bgm_start
2019-11-12 17:48:07.674142,6.30892,0.674479961395,-0.620189130306,0,0
2019-11-12 17:48:07.678335,6.31313,0.565962553024,-0.837223887444,0,0
2019-11-12 17:48:07.682312,6.31711,0.522562026978,-1.0,0,0
2019-11-12 17:48:07.686303,6.3211,0.435728818178,-1.0,0,0
2019-11-12 17:48:07.690332,6.325129,0.414044618607,-1.0,0,0
2019-11-12 17:48:07.694288,6.329085,0.392328292131,-1.0,0,0
2019-11-12 17:48:07.698343,6.333139,0.370611965656,-1.0,0,0
2019-11-12 17:48:07.702347,6.337145,0.348927766085,-1.0,0,0
2019-11-12 17:48:07.706350,6.341149,0.294669061899,-1.0,0,0
2019-11-12 17:48:07.710398,6.345196,0.294669061899,-1.0,0,0
2019-11-12 17:48:07.714407,6.349215,0.251236408949,-1.0,0,0
2019-11-12 17:48:07.718415,6.353216,0.196977704763,-1.0,0,0
2019-11-12 17:48:07.722289,6.357085,0.142719000578,-1.0,0,0
2019-11-12 17:48:07.726247,6.361049,0.0884603112936,-1.0,0,0
2019-11-12 17:48:07.730339,6.365136,0.0233434475958,-1.0,0,0
2019-11-12 17:48:07.734353,6.369149,-0.0,-1.0,0,0
2019-11-12 17:48:07.738320,6.373118,-0.0,-1.0,0,0
2019-11-12 17:48:07.742351,6.377148,-0.0,-1.0,0,0
2019-11-12 17:48:07.746343,6.38114,-0.0,-1.0,0,0
2019-11-12 17:48:07.754147,6.388941,-0.0,-1.0,0,0
2019-11-12 17:48:07.758086,6.392878,-0.0,-1.0,0,0
2019-11-12 17:48:07.762344,6.397141,-0.0341694876552,-1.0,0,0
2019-11-12 17:48:07.766208,6.401,-0.131828710437,-1.0,0,0
2019-11-12 17:48:07.770321,6.405117,-0.218661904335,-1.0,0,0
2019-11-12 17:48:07.774284,6.409082,-0.316321134567,-1.0,0,0
2019-11-12 17:48:07.778253,6.413049,-0.392296165228,-1.0,0,0
2019-11-12 17:48:07.782314,6.41711,-0.468271195889,-1.0,0,0
2019-11-12 17:48:07.786286,6.421082,-0.565930426121,-0.86979842186,0,0
2019-11-12 17:48:07.790280,6.425079,-0.598472774029,-0.782965183258,0,0
2019-11-12 17:48:07.794326,6.429118,-0.631047308445,-0.707022309303,0,0
2019-11-12 17:48:07.798410,6.433217,-0.652731478214,-0.598472774029,0,0
2019-11-12 17:48:07.802374,6.437171,-0.652731478214,-0.468271195889,0,0
2019-11-12 17:48:07.806407,6.441201,-0.652731478214,-0.348895639181,0,0
2019-11-12 17:48:07.810370,6.445167,-0.652731478214,-0.207803741097,0,0
2019-11-12 17:48:07.814421,6.449213,-0.652731478214,-0.110144510865,0,0
2019-11-12 17:48:07.818397,6.453195,-0.652731478214,-0.0,0,0
2019-11-12 17:48:07.822343,6.457139,-0.641905426979,-0.0,0,0
2019-11-12 17:48:07.826255,6.461055,-0.587646722794,-0.0,0,0
2019-11-12 17:48:07.830334,6.46517,-0.522529900074,0.0667439773679,0,0
2019-11-12 17:48:07.834315,6.469131,-0.446554869413,0.207835868001,0,0
2019-11-12 17:48:07.838251,6.473066,-0.381437987089,0.359753787518,0,0
2019-11-12 17:48:07.842257,6.477056,-0.359721660614,0.511703848839,0,0
2019-11-12 17:48:07.846272,6.48107,-0.283778756857,0.641937553883,0,0
2019-11-12 17:48:07.850264,6.48507,-0.240346118808,0.761313140392,0,0
2019-11-12 17:48:07.854249,6.489064,-0.229520067573,0.91323107481,0,0
2019-11-12 17:48:07.858197,6.492995,-0.186087414622,1.0,0,0
2019-11-12 17:48:07.862292,6.497091,-0.142686888576,1.0,0,0
2019-11-12 17:48:07.866402,6.501243,-0.0992863476276,1.0,0,0
2019-11-12 17:48:07.870389,6.505186,-0.0775700211525,1.0,0,0
2019-11-12 17:48:07.874372,6.50917,-0.0558858141303,1.0,0,0
2019-11-12 17:48:07.878317,6.513117,-0.0558858141303,1.0,0,0
2019-11-12 17:48:07.882373,6.517171,-0.0558858141303,1.0,0,0
2019-11-12 17:48:07.886341,6.521137,-0.0558858141303,1.0,0,0
2019-11-12 17:48:07.890335,6.525132,-0.0558858141303,1.0,0,0
2019-11-12 17:48:07.894338,6.529135,-0.0558858141303,1.0,0,0
2019-11-12 17:48:07.898344,6.53314,-0.0558858141303,1.0,0,0
2019-11-12 17:48:07.902346,6.537143,-0.0450276508927,1.0,0,0
2019-11-12 17:48:07.906354,6.541151,-0.0124531583861,1.0,0,0
2019-11-12 17:48:07.910184,6.544981,-0.0,1.0,0,0
2019-11-12 17:48:07.914164,6.54895,-0.0,1.0,0,0
2019-11-12 17:48:07.918219,6.553025,-0.0,1.0,0,0
2019-11-12 17:48:07.922294,6.557084,-0.0,1.0,0,0
2019-11-12 17:48:07.926177,6.560968,-0.0,1.0,0,0
2019-11-12 17:48:07.930124,6.56491,-0.0,1.0,0,0
2019-11-12 17:48:07.934264,6.569056,-0.0,1.0,0,0
2019-11-12 17:48:07.938274,6.573065,-0.0,1.0,0,0
2019-11-12 17:48:07.942296,6.577086,0.0559179410338,1.0,0,0
2019-11-12 17:48:07.946380,6.581174,0.175293505192,1.0,0,0
2019-11-12 17:48:07.950342,6.585152,0.28381088376,1.0,0,0
2019-11-12 17:48:07.954133,6.588917,0.403186440468,1.0,0,0
2019-11-12 17:48:07.958038,6.592823,0.533388078213,0.967489778996,0,0
2019-11-12 17:48:07.962121,6.596924,0.62022125721,0.772139191628,0,0
2019-11-12 17:48:07.966287,6.601077,0.696196258068,0.565962553024,0,0
2019-11-12 17:48:07.970223,6.605015,0.717880487442,0.348927766085,0,0
2019-11-12 17:48:07.974221,6.609012,0.739596784115,0.0993184745312,0,0
2019-11-12 17:48:07.978238,6.613043,0.739596784115,-0.0,0,0
2019-11-12 17:48:07.982230,6.617027,0.739596784115,-0.0,0,0
2019-11-12 17:48:07.986261,6.621052,0.750454962254,-0.0233113225549,0,0
2019-11-12 17:48:07.990113,6.624913,0.772139191628,-0.186087414622,0,0
2019-11-12 17:48:07.994288,6.62908,0.815571844578,-0.294636934996,0,0
2019-11-12 17:48:07.998290,6.633081,0.837256014347,-0.435696691275,0,0
2019-11-12 17:48:08.002234,6.63704,0.869830548763,-0.576788604259,0,0
2019-11-12 17:48:08.006149,6.640938,0.869830548763,-0.707022309303,0,0
2019-11-12 17:48:08.010155,6.644943,0.869830548763,-0.826365768909,0,0
2019-11-12 17:48:08.014141,6.64893,0.826397895813,-0.858940243721,0,0
2019-11-12 17:48:08.018138,6.652923,0.7938554883,-0.858940243721,0,0
2019-11-12 17:48:08.022207,6.657017,0.750454962254,-0.913198947906,0,0
2019-11-12 17:48:08.026188,6.660979,0.717880487442,-0.956599473953,0,0
2019-11-12 17:48:08.030161,6.664948,0.685338079929,-0.967457652092,0,0
2019-11-12 17:48:08.034154,6.668944,0.674479961395,-0.978315770626,0,0
2019-11-12 17:48:08.038140,6.672931,0.641937553883,-1.0,0,0
2019-11-12 17:48:08.042158,6.676948,0.598504900932,-1.0,0,0
2019-11-12 17:48:08.046162,6.680953,0.555104374886,-1.0,0,0
2019-11-12 17:48:08.050154,6.684946,0.544246196747,-1.0,0,0
2019-11-12 17:48:08.054005,6.688789,0.5008456707,-1.0,0,0
2019-11-12 17:48:08.057925,6.692711,0.424870669842,-1.0,0,0
2019-11-12 17:48:08.062160,6.696955,0.381470113993,-1.0,0,0
2019-11-12 17:48:08.066153,6.700944,0.294669061899,-1.0,0,0
2019-11-12 17:48:08.069965,6.704758,0.262094557285,-1.0,0,0
2019-11-12 17:48:08.071058,6.705836,0.262094557285,-1.0,1,0
2019-11-12 17:48:08.073979,6.708751,0.186119541526,-1.0,0,0
2019-11-12 17:48:08.077830,6.71259,0.0993184745312,-1.0,0,0
2019-11-12 17:48:08.081869,6.716639,-0.0,-1.0,0,0
2019-11-12 17:48:08.085933,6.720721,-0.0,-1.0,0,0
2019-11-12 17:48:08.089962,6.724754,-0.0,-1.0,0,0
2019-11-12 17:48:08.094253,6.729043,-0.0,-1.0,0,0
2019-11-12 17:48:08.098129,6.732918,-0.0341694876552,-1.0,0,0
2019-11-12 17:48:08.102087,6.736876,-0.175261378288,-0.978315770626,0,0
2019-11-12 17:48:08.106091,6.74088,-0.262062430382,-0.880656540394,0,0
2019-11-12 17:48:08.110259,6.74505,-0.381437987089,-0.837223887444,0,0
2019-11-12 17:48:08.114265,6.749057,-0.468271195889,-0.772107064724,0,0
2019-11-12 17:48:08.118259,6.753058,-0.576788604259,-0.707022309303,0,0
2019-11-12 17:48:08.122238,6.75703,-0.652731478214,-0.631047308445,0,0
2019-11-12 17:48:08.126111,6.760921,-0.739564657211,-0.555072247982,0,0
2019-11-12 17:48:08.130130,6.76493,-0.772107064724,-0.468271195889,0,0
2019-11-12 17:48:08.134182,6.768972,-0.804681539536,-0.403154343367,0,0
2019-11-12 17:48:08.138256,6.773048,-0.880656540394,-0.283778756857,0,0
2019-11-12 17:48:08.142250,6.777041,-0.934915244579,-0.19694557786,0,0
2019-11-12 17:48:08.146261,6.781051,-0.956599473953,-0.121002674103,0,0
2019-11-12 17:48:08.150263,6.785054,-0.967457652092,-0.00162711844314,0,0
2019-11-12 17:48:08.154245,6.789054,-0.989173948765,-0.0,0,0
2019-11-12 17:48:08.158150,6.79294,-1.0,-0.0,0,0
2019-11-12 17:48:08.166261,6.801053,-1.0,-0.0,0,0
2019-11-12 17:48:08.170156,6.804948,-1.0,0.110176637769,0,0
2019-11-12 17:48:08.171649,6.80644,-1.0,0.110176637769,1,0
2019-11-12 17:48:08.174253,6.809044,-1.0,0.229552194476,0,0
2019-11-12 17:48:08.178072,6.812858,-1.0,0.359753787518,0,0
2019-11-12 17:48:08.182240,6.817031,-1.0,0.457445144653,0,0
2019-11-12 17:48:08.186255,6.821047,-1.0,0.555104374886,0,0
2019-11-12 17:48:08.190315,6.825106,-0.978315770626,0.641937553883,0,0
2019-11-12 17:48:08.194241,6.829032,-0.956599473953,0.717880487442,0,0
2019-11-12 17:48:08.198256,6.833047,-0.913198947906,0.782997310162,0,0
2019-11-12 17:48:08.202259,6.837054,-0.826365768909,0.848114192486,0,0
2019-11-12 17:48:08.206250,6.841041,-0.772107064724,0.934947371483,0,0
2019-11-12 17:48:08.210250,6.845045,-0.739564657211,0.989206075668,0,0
2019-11-12 17:48:08.214255,6.849062,-0.652731478214,1.0,0,0
2019-11-12 17:48:08.218250,6.853048,-0.598472774029,1.0,0,0
2019-11-12 17:48:08.222259,6.857048,-0.522529900074,1.0,0,0
2019-11-12 17:48:08.226083,6.860892,-0.45741301775,1.0,0,0
2019-11-12 17:48:08.230027,6.864813,-0.403154343367,1.0,0,0
2019-11-12 17:48:08.234304,6.869095,-0.370579838753,1.0,0,0
2019-11-12 17:48:08.238323,6.873114,-0.283778756857,1.0,0,0
2019-11-12 17:48:08.242240,6.87703,-0.240346118808,1.0,0,0
2019-11-12 17:48:08.246266,6.881058,-0.186087414622,1.0,0,0
2019-11-12 17:48:08.250257,6.885048,-0.121002674103,1.0,0,0
2019-11-12 17:48:08.254311,6.889101,-0.0450276508927,1.0,0,0
2019-11-12 17:48:08.258150,6.892941,-0.0,1.0,0,0
2019-11-12 17:48:08.262314,6.897104,-0.0,1.0,0,0
2019-11-12 17:48:08.266240,6.901044,-0.0,1.0,0,0
2019-11-12 17:48:08.270271,6.905062,-0.0,1.0,0,0
2019-11-12 17:48:08.274260,6.90905,-0.0,1.0,0,0
2019-11-12 17:48:08.278246,6.913037,0.0124852824956,0.97834789753,0,0
2019-11-12 17:48:08.282243,6.917033,0.077602148056,0.826397895813,0,0
2019-11-12 17:48:08.286234,6.921025,0.0993184745312,0.652763605118,0,0
2019-11-12 17:48:08.290104,6.92489,0.0993184745312,0.359753787518,0,0
2019-11-12 17:48:08.294251,6.929043,-0.0,-0.0,0,0
2019-11-12 17:48:08.302242,6.937038,-0.0,-0.0,0,0
2019-11-12 17:48:08.306255,6.941046,-0.0,-0.0,0,0
2019-11-12 17:48:08.310253,6.945044,-0.0,-0.0,0,0
2019-11-12 17:48:08.314304,6.949093,-0.0,-0.0,0,0
2019-11-12 17:48:08.318314,6.953105,-0.0,-0.0,0,0
2019-11-12 17:48:08.322187,6.956995,-0.0,-0.0,0,0
2019-11-12 17:48:08.326048,6.96084,0.0450597777963,-0.0,0,0
2019-11-12 17:48:08.330093,6.964882,0.0993184745312,-0.0,0,0
2019-11-12 17:48:08.334308,6.969097,0.175293505192,-0.0,0,0
2019-11-12 17:48:08.338324,6.973113,0.207835868001,-0.0124531583861,0,0
2019-11-12 17:48:08.342241,6.977032,0.251236408949,-0.0775700211525,0,0
2019-11-12 17:48:08.346199,6.981007,0.294669061899,-0.0992863476276,0,0
2019-11-12 17:48:08.350132,6.984921,0.316353261471,-0.142686888576,0,0
2019-11-12 17:48:08.353876,6.988656,0.370611965656,-0.186087414622,0,0
2019-11-12 17:48:08.358141,6.992935,0.403186440468,-0.19694557786,0,0
2019-11-12 17:48:08.362200,6.997006,0.435728818178,-0.272920608521,0,0
2019-11-12 17:48:08.366206,7.001013,0.457445144653,-0.283778756857,0,0
2019-11-12 17:48:08.370212,7.005003,0.489987522364,-0.294636934996,0,0
2019-11-12 17:48:08.374215,7.009007,0.5008456707,-0.338037461042,0,0
2019-11-12 17:48:08.378224,7.013033,0.511703848839,-0.381437987089,0,0
2019-11-12 17:48:08.382347,7.017138,0.522562026978,-0.403154343367,0,0
2019-11-12 17:48:08.386335,7.021128,0.522562026978,-0.414012491703,0,0
2019-11-12 17:48:08.390272,7.025063,0.533388078213,-0.424838542938,0,0
2019-11-12 17:48:08.406312,7.041104,0.522562026978,-0.424838542938,0,0
